image_filename,total_spikes,active_neurons,mean_firing_rate,firing_rate_variance,temporal_burstiness,synchrony,response_latency,early_response_strength,late_response_strength,persistent_activity,trial_variance,entropy,left_right_balance,recurrent_fraction,burst_phase,population_0,population_1,population_2,population_3,population_4,population_5,population_6,normalized_total_spikes,normalized_active_neurons,normalized_mean_firing_rate,normalized_firing_rate_variance,normalized_temporal_burstiness,normalized_synchrony,normalized_response_latency,normalized_early_response_strength,normalized_late_response_strength,normalized_persistent_activity,normalized_trial_variance,normalized_entropy,normalized_left_right_balance,normalized_recurrent_fraction,normalized_burst_phase,normalized_population_0,normalized_population_1,normalized_population_2,normalized_population_3,normalized_population_4,normalized_population_5,normalized_population_6
01.png,455693,9883,3.2869033965911467,258.2150919329855,0.2769664702194213,699.1280796940044,0.0,265240.0,501408.0,1.0563544608614426,0.008067890508933714,0.7493040740009899,-0.07527338358636798,0.9111309587814603,0.7959183673469388,58787,56282,58478,60576,58800,63865,58408,0.825144402475051,0.41492537313432837,0.825144402475051,0.7712862360918977,0.20134348184474088,0.2029429377517377,0.5,0.49100444444444447,0.5668943350743271,0.13569730576569153,0.08084079663111299,0.6697440178711431,0.45031202100757545,0.2988282993890946,0.9130434782608695,0.7759585709054768,0.7807591623036649,0.7756625999158603,0.7772360201127533,0.7829047294820091,0.7789413007973869,0.7792487522983977
02.png,440872,9905,3.1799998557404483,243.6290012449599,0.33781207429792154,1006.2197788020103,0.0,214956.0,500416.0,1.093227361531994,0.004344165917393451,0.7488816180878906,0.06401172733935988,0.9135032390353662,0.7755102040816326,57147,54435,56804,58744,56920,61927,56761,0.7162289275268596,0.48059701492537316,0.7162289275268597,0.6698971395011954,0.479118874796194,0.5508722670555068,0.5,0.26752,0.4672559260747288,0.2279718072461722,0.043514105201537465,0.46079789857813824,0.9710569652175851,0.3829320027769346,0.8695652173913042,0.6901710519432965,0.6800283595113438,0.6876314682372738,0.6841891411448017,0.6844393233122087,0.6858487847055433,0.6927239296033623
03.png,455042,9895,3.2822077481805265,257.9825562926192,0.3014596220758431,827.0652614923458,0.0,263184.0,501016.0,1.0636820337463357,0.003673546627546233,0.7493102783017338,0.0272140221402214,0.9141793504775383,0.8367346938775511,58960,56428,58563,60548,58946,64086,58459,0.8203603815458781,0.4507462686567164,0.8203603815458783,0.7696698620403342,0.3131608429273836,0.3478934459725926,0.5,0.48186666666666667,0.5275210928083568,0.15403457033450288,0.03679180373066149,0.6728126565697051,0.8334814640486211,0.40690196842325277,1.0,0.7850081079667312,0.7887216404886562,0.780132519983172,0.7758139062420641,0.790551511024983,0.7895571140359304,0.7819280273180983
04.png,456812,9850,3.2949747185135494,265.3018415372759,0.2650566296857364,641.8666959712092,0.0,295852.0,495764.0,1.055124062707051,0.004538296760853297,0.7480807246164859,-0.07256691938728145,0.9285110723886413,0.5714285714285714,60098,57412,59804,61911,59914,65221,59795,0.8333676273901733,0.3164179104477612,0.8333676273901732,0.8205468060082349,0.1469720825573693,0.13806682780950538,0.5,0.6270577777777778,0.0,0.13261823213019489,0.04546007674498923,0.06467707832636917,0.4604306728792119,0.9149999836825516,0.43478260869565205,0.8445362766124392,0.8423865619546248,0.8453933529659234,0.8450403778759713,0.8412507201592206,0.844077240849265,0.8521145258733911
05.png,473096,9922,3.412430845577363,281.8231133857048,0.2747587123428254,714.3025763904155,0.0,346364.0,495936.0,1.0078856440694208,3.1826313835807515e-06,0.7486840351650129,-0.11918243336555724,0.9212168354837074,0.6122448979591837,61758,58964,61457,63613,61672,67058,61302,0.953034289157689,0.5313432835820896,0.9530342891576892,0.9353875034280554,0.19126451523736057,0.22013536748344362,0.5,0.8515555555555555,0.017276014463640015,0.014404002947113312,0.0,0.3630736540031861,0.2861493511743931,0.6563997040220304,0.5217391304347826,0.9313699848302558,0.9270287958115183,0.9323201514514093,0.9314845853014373,0.9333263499711937,0.9323181861850321,0.931284475965327
06.png,391322,9896,2.822596816191692,191.89129875932628,0.39166222501035214,1200.5704057528073,0.0,184096.0,496824.0,1.2314666693924696,0.035591816014145135,0.7491164061369837,-0.1957196029776675,0.9151466056086803,0.673469387755102,50715,48480,50510,52325,50693,55042,50352,0.3520995311512515,0.4537313432835821,0.3520995311512513,0.3102641832215998,0.724958274390977,0.7710680049447795,0.5,0.13036444444444445,0.1064684612294094,0.5739159284261913,0.35674118856603065,0.5769237479111057,0.0,0.4411937594188555,0.6521739130434782,0.3537165873306481,0.3552574171029668,0.3566470340765671,0.3581695362892986,0.35829885298276853,0.35512537227399366,0.35602836879432626
07.png,472663,9825,3.409307626281205,284.44564249193263,0.2582339333878478,630.3884154672569,0.0,355516.0,497704.0,1.0218414952443213,0.0001693511849756978,0.7480083815706743,-0.03533324095884716,0.9292392254100702,0.3673469387755102,62235,59379,61847,64175,62164,67568,61849,0.9498522905980393,0.2417910447761194,0.9498522905980396,0.9536169154446383,0.11582476840318055,0.1250621440329632,0.5,0.8922311111111111,0.19485737243873041,0.049328546079902426,0.0016656769781855036,0.028896306389066224,0.5996361462214957,0.9408149630191569,0.0,0.9563215985771826,0.9496618673647469,0.9528291964661337,0.9600284422774138,0.9590949562666946,0.9568162167355173,0.9600210139217231
08.png,432105,10005,3.1167636812152426,231.61495560072188,0.38968494103032053,1312.3405063584082,0.0,171708.0,500236.0,1.1183547208818845,0.0016060783600403122,0.7497316688046011,-0.10681307711504867,0.9096654748267203,0.5510204081632653,55754,53262,55448,57392,55584,60352,55279,0.651802642602037,0.7791044776119403,0.6518026426020372,0.5863865361241889,0.7159314787358417,0.8977015031893685,0.5,0.07530666666666666,0.4491763760546404,0.2908530700534618,0.016067459551998255,0.8812318254128843,0.33239463674565245,0.24687295910155513,0.3913043478260868,0.6173039702882251,0.6160558464223386,0.6163230963399243,0.6155213571029509,0.614466034672393,0.6101931021231627,0.6148673496191227
09.png,478135,9744,3.448777039649738,291.1184298079694,0.23420674970753544,524.5408859422547,0.0,379764.0,497292.0,1.002129802949655,0.00013859942417124155,0.7479499578222836,-0.15307030554731535,0.9309086345906491,0.8367346938775511,63070,60302,62744,64962,62945,68467,62610,0.9900645218183689,0.0,0.9900645218183691,1.0,0.006134668528343216,0.0051388114809410475,0.5,1.0,0.15347529128163923,0.0,0.0013574206992244277,0.0,0.159452836439982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.png,477114,10079,3.4414125895310845,280.976477569504,0.24944658061063493,593.7549811575432,0.0,334304.0,505720.0,1.0170734876779972,0.00241527891625779,0.7499717992162694,-0.161836825679893,0.9074518878087836,0.42857142857142855,61293,58712,60991,63197,61299,66553,60913,0.9825614720968856,1.0,0.9825614720968859,0.9295024693649944,0.07570830629123916,0.08355712691105918,0.5,0.7979555555555555,1.0,0.03739659841002204,0.02417890246998186,1.0,0.12667746650263553,0.1683953569408501,0.13043478260869557,0.9070460846367108,0.9132853403141361,0.9078144720235591,0.9103560363654832,0.9137903943853768,0.9080603324046498,0.9108484370895719
