image_filename,total_spikes,active_neurons,mean_firing_rate,firing_rate_variance,temporal_burstiness,synchrony,response_latency,early_response_strength,late_response_strength,persistent_activity,trial_variance,entropy,left_right_balance,recurrent_fraction,burst_phase,population_0,population_1,population_2,population_3,population_4,population_5,population_6,normalized_total_spikes,normalized_active_neurons,normalized_mean_firing_rate,normalized_firing_rate_variance,normalized_temporal_burstiness,normalized_synchrony,normalized_response_latency,normalized_early_response_strength,normalized_late_response_strength,normalized_persistent_activity,normalized_trial_variance,normalized_entropy,normalized_left_right_balance,normalized_recurrent_fraction,normalized_burst_phase,normalized_population_0,normalized_population_1,normalized_population_2,normalized_population_3,normalized_population_4,normalized_population_5,normalized_population_6
01.png,454638,9815,3.279293705234458,262.5975985721162,0.2686395708973219,656.199202706329,0.0,288344.0,496584.0,1.0607120390288538,0.005049968665183389,0.7482496784972257,0.07408565176617693,0.9289874581535199,0.2857142857142857,59907,57151,59576,61542,59737,65045,59395,0.5890619324373411,0.18775510204081633,0.5890619324373413,0.583845544461265,0.4756469752014269,0.4062403672825072,0.5,0.39055239598844615,0.27897727272727274,0.39092894152729385,0.10114309519756084,0.18201301412471366,0.8849364306396205,0.8437692064782374,0.16666666666666663,0.6206018518518519,0.6193454072931048,0.6177109181141439,0.6102051551814834,0.6179212031017467,0.619981783787571,0.6236996480250293
02.png,472135,9820,3.405499174114066,281.7149117306794,0.2701270179131015,689.0206540502187,0.0,347664.0,496776.0,1.0193129789855302,2.244913312149681e-05,0.7484763483046027,0.045849918914934396,0.9238353437046607,0.4897959183673469,61845,58959,61501,63631,61738,67108,61393,0.7876748092989466,0.20816326530612245,0.7876748092989468,0.770013379637237,0.4847852603946419,0.45109556518912086,0.5,0.656613861030876,0.30625,0.189001645108159,0.0004190180088662715,0.3362762500470867,0.7894902356327228,0.6319365853263794,0.5,0.7701388888888889,0.7661820839762852,0.7669820099255583,0.7671902006462764,0.7746534033053967,0.7645204231766272,0.7799765350019554
03.png,464219,9969,3.3484012435173365,267.4412360384569,0.26358152706527965,645.034356155177,0.0,292052.0,501464.0,1.0351723360454155,0.00556653008407775,0.7494516042277257,0.06530420483908855,0.9084656164439628,0.32653061224489793,59726,57197,59473,61480,59596,64903,59352,0.6978182891391209,0.8163265306122449,0.6978182891391211,0.6310137575886399,0.44457235770807224,0.3909820108983942,0.5,0.4071834801485495,0.9721590909090909,0.2663569544001343,0.11149216930808521,1.0,0.8552522109927868,0.0,0.23333333333333328,0.6066358024691358,0.6230812961910176,0.6097239454094293,0.6055459532576839,0.606877105036422,0.6100329293070833,0.620336331638639
04.png,402744,9898,2.904983446216433,202.643320760659,0.3328484746130596,892.3849077329519,0.0,236028.0,496624.0,1.1855835634215948,0.04991531537823504,0.7491886016692366,0.0900039303026333,0.9084828079375484,0.7959183673469388,51864,49525,51610,53422,51848,56196,51421,0.0,0.5265306122448979,0.0,0.0,0.8701210424276467,0.7290218442708648,0.5,0.15590520102621144,0.2846590909090909,1.0,1.0,0.8210100136499403,0.9387455216013898,0.000706839722583605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05.png,469172,9774,3.3841271215170337,280.40065429023304,0.27582890981808206,713.9070113305993,0.0,343312.0,496416.0,1.0312351689074937,6.197571048178673e-06,0.7479822339917018,0.06611443472925295,0.9284953066252888,0.7346938775510204,61768,58896,61391,63622,61579,67069,61299,0.7540410461314929,0.02040816326530612,0.7540410461314934,0.7572149042174726,0.5198154253792318,0.48510632447243884,0.5,0.637094314573279,0.2551136363636364,0.24715310013680483,9.342532200137924e-05,0.0,0.8579910582720295,0.8235340682133693,0.9,0.7641975308641975,0.7610655404856655,0.7584522332506204,0.7665138648831442,0.7621994203806689,0.7617879913122679,0.7726241689479859
06.png,459511,9769,3.3144425450270125,268.987140643629,0.3018611979636256,837.414526703387,0.0,309696.0,494620.0,1.0478965683084847,0.00011357124420639928,0.7480730861093828,0.02929406114935169,0.9327872455719232,0.1836734693877551,60773,57955,60489,62538,60597,65902,60372,0.6443765891754449,0.0,0.6443765891754449,0.6460680547770784,0.6797474907114809,0.653896972605428,0.5,0.4863201707960315,0.0,0.3284204364502551,0.0022446082411827534,0.06183065061046256,0.7335259142132867,1.0,0.0,0.6874228395061729,0.6846422480305369,0.688508064516129,0.6850529796347787,0.6852823686065638,0.6800252224479787,0.700117324990223
07.png,450646,10014,3.2504994986980575,254.10340093992102,0.3184545309467631,914.0298542092908,0.0,254208.0,499264.0,1.0727858821928224,0.0025449582972551068,0.7492984091270815,0.09181713407606608,0.9176737394762186,0.6122448979591837,58669,56055,58210,60255,58527,63650,58180,0.5437477297493644,1.0,0.5437477297493644,0.5011275196202939,0.78169035489237,0.7586027530400009,0.5,0.23744595346166958,0.6596590909090909,0.4498200976293276,0.05095634683216786,0.8957409801230147,0.9448747551459227,0.3785981187284032,0.7000000000000001,0.5250771604938271,0.5303337935515309,0.5117866004962779,0.5134891410535808,0.5231456097752016,0.5222447978701044,0.5286664059444661
08.png,435193,9883,3.139037356010935,237.56991839183445,0.3539889909975783,1090.6650796772926,0.0,201268.0,497032.0,1.1057163143708655,0.0035099674969734647,0.7489353263616041,-0.03344929087503345,0.9149228043649599,0.4897959183673469,56432,53813,56200,58134,56372,61159,56058,0.36833681438430804,0.46530612244897956,0.36833681438430815,0.3401214918188258,1.0,1.0,0.5,0.0,0.34261363636363634,0.6104409700034162,0.07028986915870741,0.6486400408390786,0.5214324564568908,0.2654915872215896,0.5,0.35246913580246914,0.3482498172663039,0.355924317617866,0.3540993462087623,0.3543510613299914,0.34771947032859246,0.36269065310911225
09.png,482590,9820,3.480910854809974,293.76629397627823,0.2312373535452007,516.0886342443897,0.0,384748.0,497628.0,0.999026088398019,0.00016324895274992467,0.7484902658371686,0.06727595836506728,0.9212727159700781,0.24489795918367346,63041,60185,62746,64712,62927,68448,62538,0.9063521612786052,0.20816326530612245,0.9063521612786053,0.8873719082616597,0.24586256917123883,0.21475927732947486,0.5,0.8229426433915212,0.42727272727272725,0.09005067943888972,0.0032398786360534784,0.34574801708349784,0.8619173955848638,0.5265724371807033,0.09999999999999998,0.8624228395061728,0.8657516446032648,0.8635235732009926,0.8484256406402645,0.8677841309626381,0.8584039795417922,0.8695346108721158
10.png,471133,9900,3.398271770569609,276.7210599176006,0.2514902427057155,595.9582012298013,0.0,329744.0,500960.0,1.0209714312801976,0.0022886650476090947,0.7492178120101062,0.10812476883244976,0.9137716950415276,0.7755102040816326,61162,58242,60680,62786,60895,66244,60499,0.7763008536142391,0.5346938775510204,0.7763008536142391,0.7213823521743614,0.3702882967245333,0.32391244049430623,0.5,0.5762392579701825,0.9005681818181818,0.19709088162106173,0.04582162763403099,0.8408895104257833,1.0,0.21816295979387357,0.9666666666666667,0.7174382716049382,0.7079509461544709,0.703318858560794,0.7036897873299767,0.7086237957233492,0.7039865480277447,0.7100508408290966
